Frequency (Hz)	Level (dB)
352.294922	-50.078236
353.027344	-49.661835
353.759766	-51.213306
354.492188	-49.710487
355.224609	-49.575165
355.957031	-48.847248
356.689453	-51.459011
357.421875	-51.028542
358.154297	-50.654167
358.886719	-49.349304
359.619141	-50.055489
360.351562	-50.183979
361.083984	-49.859272
361.816406	-49.868233
362.548828	-52.348186
363.281250	-50.362701
364.013672	-50.713131
364.746094	-50.755741
365.478516	-49.799271
366.210938	-49.877640
366.943359	-50.382225
367.675781	-50.445045
368.408203	-49.125065
369.140625	-50.689068
369.873047	-49.038841
370.605469	-51.026741
371.337891	-50.396732
372.070312	-50.668991
372.802734	-49.601471
373.535156	-49.117817
374.267578	-50.260735
375.000000	-51.717384
375.732422	-49.180016
376.464844	-49.155495
377.197266	-48.269524
377.929688	-49.740955
378.662109	-52.545845
379.394531	-49.142834
380.126953	-50.570499
380.859375	-49.030167
381.591797	-51.418190
382.324219	-49.057125
383.056641	-50.677551
383.789062	-50.479923
384.521484	-50.316635
385.253906	-49.977077
385.986328	-51.747719
386.718750	-51.611309
387.451172	-50.310429
388.183594	-50.288258
388.916016	-49.429344
389.648438	-52.327782
390.380859	-50.969986
391.113281	-50.352360
391.845703	-51.031769
392.578125	-50.006603
393.310547	-50.486519
394.042969	-49.412773
394.775391	-50.619244
395.507812	-50.720703
396.240234	-49.795509
396.972656	-50.290932
397.705078	-50.696690
398.437500	-49.414520
399.169922	-50.375446
399.902344	-49.008171
400.634766	-49.701405
401.367188	-48.649998
402.099609	-51.312870
402.832031	-50.274288
403.564453	-51.630322
404.296875	-50.688293
405.029297	-50.032803
405.761719	-48.859982
406.494141	-51.443375
407.226562	-50.810074
407.958984	-50.374901
408.691406	-48.701702
409.423828	-51.249496
410.156250	-50.225441
410.888672	-49.725201
411.621094	-50.112949
412.353516	-49.679783
413.085938	-48.264503
413.818359	-48.651680
414.550781	-49.043213
415.283203	-49.853165
416.015625	-49.798557
416.748047	-49.112576
417.480469	-49.890705
418.212891	-49.300053
418.945312	-50.395721
419.677734	-49.943737
420.410156	-49.575401
421.142578	-50.721371
421.875000	-49.923420
422.607422	-51.053982
423.339844	-50.298878
424.072266	-50.204567
424.804688	-51.007698
425.537109	-52.764145
426.269531	-47.794403
427.001953	-50.082523
427.734375	-51.313183
428.466797	-50.397362
429.199219	-50.517662
429.931641	-50.386745
430.664062	-48.703907
431.396484	-49.520016
