Frequency (Hz)	Level (dB)
564.697266	-71.053894
565.429688	-72.994957
566.162109	-72.713531
566.894531	-72.496681
567.626953	-73.225800
568.359375	-72.507896
569.091797	-71.608635
569.824219	-72.401985
570.556641	-73.314972
571.289062	-70.917877
572.021484	-72.989250
572.753906	-71.815010
573.486328	-71.749809
574.218750	-72.185928
574.951172	-70.817322
575.683594	-71.499001
576.416016	-71.739143
577.148438	-71.617775
577.880859	-70.716820
578.613281	-72.187721
579.345703	-71.788940
580.078125	-71.760139
580.810547	-71.440292
581.542969	-70.644875
582.275391	-71.308434
583.007812	-70.839386
583.740234	-71.852730
584.472656	-71.024551
585.205078	-69.742935
585.937500	-69.411079
586.669922	-71.039574
587.402344	-70.181915
588.134766	-70.496429
588.867188	-70.066200
589.599609	-69.394897
590.332031	-71.271515
591.064453	-69.299042
591.796875	-68.732300
592.529297	-68.946587
593.261719	-70.032051
593.994141	-70.667839
594.726562	-68.435722
595.458984	-67.424797
596.191406	-68.389671
596.923828	-67.070641
597.656250	-67.556107
598.388672	-68.318077
599.121094	-67.841995
599.853516	-69.209511
600.585938	-67.213898
601.318359	-67.367767
602.050781	-67.464157
602.783203	-67.138069
603.515625	-68.637657
604.248047	-67.611275
604.980469	-66.431725
605.712891	-69.132469
606.445312	-67.546242
607.177734	-66.842819
607.910156	-66.636147
608.642578	-67.002502
609.375000	-66.224182
610.107422	-63.924637
610.839844	-64.509483
611.572266	-63.833305
612.304688	-64.447792
613.037109	-65.651596
613.769531	-64.940292
614.501953	-65.054428
615.234375	-64.288849
615.966797	-64.211403
616.699219	-63.935150
617.431641	-64.695946
618.164062	-62.900803
618.896484	-63.907162
619.628906	-62.409576
620.361328	-61.968445
621.093750	-62.781528
621.826172	-61.609692
622.558594	-64.166794
623.291016	-63.313370
624.023438	-62.245033
624.755859	-61.772919
625.488281	-63.626373
626.220703	-64.041557
626.953125	-61.365646
627.685547	-62.310120
628.417969	-62.107712
629.150391	-61.968170
629.882812	-63.526863
630.615234	-63.148743
631.347656	-62.164574
632.080078	-61.997292
632.812500	-62.817074
633.544922	-63.713371
634.277344	-63.266365
635.009766	-63.710644
635.742188	-62.986240
636.474609	-61.127415
637.207031	-64.310867
637.939453	-65.222801
638.671875	-63.932102
639.404297	-62.786961
640.136719	-65.949471
640.869141	-65.864258
641.601562	-64.178345
642.333984	-63.233326
643.066406	-63.738873
643.798828	-64.338791
644.531250	-64.097450
645.263672	-66.227066
645.996094	-63.972698
646.728516	-64.496559
647.460938	-65.126671
648.193359	-64.960342
648.925781	-65.874557
649.658203	-64.429420
650.390625	-64.979988
651.123047	-65.987167
651.855469	-64.033684
652.587891	-65.366127
653.320312	-65.246696
654.052734	-64.232590
654.785156	-67.037399
655.517578	-65.170692
656.250000	-64.996185
656.982422	-66.795929
657.714844	-64.935997
658.447266	-65.749985
659.179688	-66.999428
659.912109	-65.482910
660.644531	-65.372665
661.376953	-64.434296
662.109375	-65.610115
662.841797	-65.989296
663.574219	-67.115181
664.306641	-66.173790
665.039062	-66.329437
665.771484	-66.428841
666.503906	-65.301598
667.236328	-66.954033
667.968750	-64.499748
668.701172	-67.580696
669.433594	-65.893692
670.166016	-65.899483
670.898438	-67.547020
671.630859	-66.469032
672.363281	-67.792137
673.095703	-67.137436
673.828125	-65.727776
674.560547	-66.193886
675.292969	-65.774666
676.025391	-66.294006
676.757812	-65.485252
677.490234	-66.644753
678.222656	-67.898705
678.955078	-67.718658
679.687500	-68.338516
680.419922	-68.098648
681.152344	-66.845673
681.884766	-67.432541
682.617188	-68.855232
683.349609	-68.067291
684.082031	-68.955826
684.814453	-68.483528
685.546875	-68.159134
686.279297	-67.824303
687.011719	-68.289543
687.744141	-68.807549
688.476562	-67.952042
689.208984	-67.978912
689.941406	-68.872536
690.673828	-69.986816
691.406250	-69.894745
692.138672	-69.182854
692.871094	-67.996353
693.603516	-69.522842
694.335938	-68.854858
695.068359	-68.480003
695.800781	-68.175316
696.533203	-69.054184
697.265625	-68.444572
697.998047	-69.514175
698.730469	-70.141083
699.462891	-69.126495
700.195312	-70.010788
700.927734	-70.306313
701.660156	-69.726341
702.392578	-69.319923
703.125000	-69.924568
703.857422	-69.762726
704.589844	-69.899612
705.322266	-69.962151
706.054688	-69.484398
706.787109	-69.752228
707.519531	-70.588310
708.251953	-70.817497
708.984375	-70.115196
709.716797	-69.798950
710.449219	-69.270287
711.181641	-69.721275
711.914062	-70.418259
712.646484	-69.890053
713.378906	-70.562637
714.111328	-70.163002
714.843750	-69.974884
715.576172	-71.052818
716.308594	-70.538162
717.041016	-71.502762
717.773438	-71.888618
718.505859	-70.558571
719.238281	-70.312088
719.970703	-70.085365
720.703125	-71.662170
721.435547	-70.086662
722.167969	-71.361801
722.900391	-69.747589
723.632812	-69.511513
724.365234	-69.365189
725.097656	-70.541985
725.830078	-70.930290
726.562500	-69.522949
727.294922	-71.431564
728.027344	-71.175568
728.759766	-69.855629
729.492188	-70.963997
730.224609	-70.380989
730.957031	-72.338730
731.689453	-69.345291
732.421875	-70.041901
733.154297	-71.153076
733.886719	-71.008728
734.619141	-70.637833
735.351562	-70.154411
736.083984	-71.578133
736.816406	-70.735489
737.548828	-71.559761
738.281250	-71.102844
739.013672	-70.248299
739.746094	-71.366180
740.478516	-71.156105
741.210938	-72.637680
741.943359	-72.390160
742.675781	-72.817123
743.408203	-70.702812
744.140625	-72.038956
744.873047	-71.833138
745.605469	-69.780739
746.337891	-71.641121
747.070312	-70.577492
747.802734	-71.102333
748.535156	-70.593018
749.267578	-72.132492
750.000000	-70.757469
750.732422	-71.642990
751.464844	-71.074844
752.197266	-69.331245
752.929688	-70.886719
753.662109	-70.005997
754.394531	-71.435959
755.126953	-70.243027
755.859375	-71.371986
756.591797	-71.955788
757.324219	-72.232834
758.056641	-72.047005
758.789062	-70.521599
759.521484	-72.738220
760.253906	-69.865196
760.986328	-70.746826
761.718750	-70.065247
762.451172	-70.283173
763.183594	-71.245682
763.916016	-72.099403
764.648438	-71.280624
765.380859	-72.129784
766.113281	-72.069527
766.845703	-70.680656
767.578125	-70.377159
768.310547	-69.480835
769.042969	-69.482086
769.775391	-70.182419
770.507812	-70.081757
771.240234	-69.627449
771.972656	-70.542549
772.705078	-69.681786
773.437500	-71.746399
774.169922	-72.205986
774.902344	-70.494926
775.634766	-70.355736
776.367188	-69.607857
777.099609	-70.625023
777.832031	-72.118217
778.564453	-71.019325
779.296875	-69.955887
780.029297	-70.976463
780.761719	-71.439171
781.494141	-69.740067
782.226562	-69.449326
782.958984	-69.871597
783.691406	-67.637794
784.423828	-68.960991
785.156250	-69.452568
785.888672	-70.057106
786.621094	-69.981247
787.353516	-70.659752
788.085938	-69.278152
788.818359	-69.385582
789.550781	-68.609383
790.283203	-67.559982
791.015625	-68.351227
791.748047	-69.039642
792.480469	-68.456154
793.212891	-69.763954
793.945312	-69.950333
794.677734	-67.719734
795.410156	-68.915787
796.142578	-70.251350
796.875000	-68.781570
797.607422	-69.313049
798.339844	-68.407433
799.072266	-67.362083
799.804688	-68.975410
800.537109	-67.386826
801.269531	-67.201073
802.001953	-69.419609
802.734375	-67.955582
803.466797	-67.826729
804.199219	-67.103058
804.931641	-67.511475
805.664062	-67.525055
806.396484	-69.020927
807.128906	-67.487968
807.861328	-67.975021
808.593750	-66.715942
809.326172	-67.977974
810.058594	-67.541176
810.791016	-67.326721
811.523438	-67.535629
812.255859	-67.210823
812.988281	-66.804588
813.720703	-66.469597
814.453125	-65.325119
815.185547	-66.347610
815.917969	-66.156372
816.650391	-66.043098
817.382812	-68.943954
818.115234	-66.619331
818.847656	-68.288673
819.580078	-66.284637
820.312500	-66.929230
821.044922	-66.759384
821.777344	-67.181313
822.509766	-66.954987
823.242188	-68.891426
823.974609	-68.183739
824.707031	-66.001305
825.439453	-66.225609
826.171875	-66.200562
826.904297	-66.323990
827.636719	-65.451538
828.369141	-67.146996
829.101562	-65.713203
829.833984	-67.340965
830.566406	-66.539528
831.298828	-67.617737
